Legislator Name,Chamber,District,Party,SB 2095 (2022),HB 1158 (2023),SB 2857 (2024),HB 611 (2025),SB 2748 (2025),HB 895 (2026),HB 1152 (2026),HB 1034 (2026),HB 513 (2026),Score,Grade,Classification,Historical Vote Score,Summary,Contact Link,Eligible Weight,Publish?,Slug,Featured?
Lester Carpenter,House,1,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Lester Carpenter supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lester Carpenter,155,Yes,lester-carpenter,No
Michael McLendon,Senate,1,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,OPPOSE,OPPOSE,N/A,N/A,43,D,Weak / Inconsistent,60,Michael McLendon has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Michael McLendon,140,Yes,michael-mclendon,No
Brad Mattox,House,2,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Brad Mattox supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Brad Mattox,125,Yes,brad-mattox,No
Theresa Gillespie Isom,Senate,2,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,80,Theresa Gillespie Isom supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Theresa Gillespie Isom,80,Yes,theresa-gillespie-isom,No
William Tracy Arnold,House,3,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,William Tracy Arnold supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,William Tracy Arnold,155,Yes,william-tracy-arnold,No
Kathy L. Chism,Senate,3,Republican,OPPOSE,OPPOSE,SUPPORT,N/A,OPPOSE,OPPOSE,OPPOSE,N/A,N/A,11,F,Opposed,15,Kathy L. Chism is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Kathy L. Chism,140,Yes,kathy-l-chism,No
Jody Steverson,House,4,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,100,A,Strong Supporter,155,Jody Steverson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jody Steverson,155,Yes,jody-steverson,No
Rita Potts Parks,Senate,4,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,OPPOSE,OPPOSE,OPPOSE,N/A,N/A,32,F,Opposed,45,Rita Potts Parks is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Rita Potts Parks,140,Yes,rita-potts-parks,No
John Faulkner,House,5,Democrat,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,77,B,Supporter,120,John Faulkner has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,John Faulkner,155,Yes,john-faulkner,No
Daniel H. Sparks,Senate,5,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,OPPOSE,SUPPORT,OPPOSE,N/A,N/A,61,C,Mixed / Persuadable,85,Daniel H. Sparks has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Daniel H. Sparks,140,Yes,daniel-h-sparks,No
Justin Keen,House,6,Republican,N/A,N/A,SUPPORT,ABSENT,OPPOSE,ABSENT,ABSENT,ABSENT,SUPPORT,50,D,Weak / Inconsistent,62.5,Justin Keen has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Justin Keen,125,Yes,justin-keen,No
Chad McMahan,Senate,6,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Chad McMahan supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Chad McMahan,140,Yes,chad-mcmahan,No
Kimberly Remak,House,7,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Kimberly Remak supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kimberly Remak,125,Yes,kimberly-remak,No
Hob Bryan,Senate,7,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Hob Bryan supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Hob Bryan,140,Yes,hob-bryan,No
"Trey Lamar, III",House,8,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,"Trey Lamar, III supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.","Trey Lamar, III",155,Yes,trey-lamar-iii,No
Benjamin Suber,Senate,8,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,OPPOSE,OPPOSE,OPPOSE,N/A,N/A,32,F,Opposed,45,Benjamin Suber is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Benjamin Suber,140,Yes,benjamin-suber,No
Cedric Burnett,House,9,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Cedric Burnett supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Cedric Burnett,155,Yes,cedric-burnett,No
Nicole Boyd,Senate,9,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Nicole Boyd supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Nicole Boyd,140,Yes,nicole-boyd,No
Josh Hawkins,House,10,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Josh Hawkins supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Josh Hawkins,125,Yes,josh-hawkins,No
Neil S. Whaley,Senate,10,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,OPPOSE,OPPOSE,N/A,N/A,43,D,Weak / Inconsistent,60,Neil S. Whaley has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Neil S. Whaley,140,Yes,neil-s-whaley,No
Lataisha Jackson,House,11,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Lataisha Jackson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lataisha Jackson,155,Yes,lataisha-jackson,No
Reginald Jackson,Senate,11,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Reginald Jackson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Reginald Jackson,140,Yes,reginald-jackson,No
Clay Deweese,House,12,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Clay Deweese supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Clay Deweese,155,Yes,clay-deweese,No
Derrick T. Simmons,Senate,12,Democrat,SUPPORT,ABSENT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,95,A,Strong Supporter,132.5,Derrick T. Simmons supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Derrick T. Simmons,140,Yes,derrick-t-simmons,No
Steve Massengill,House,13,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Steve Massengill supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Steve Massengill,155,Yes,steve-massengill,No
Sarita Simmons,Senate,13,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Sarita Simmons supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Sarita Simmons,140,Yes,sarita-simmons,No
Sam Creekmore IV,House,14,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Sam Creekmore IV supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Sam Creekmore IV,155,Yes,sam-creekmore-iv,No
Lydia Graves Chassaniol,Senate,14,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Lydia Graves Chassaniol supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Lydia Graves Chassaniol,140,Yes,lydia-graves-chassaniol,No
Beth Luther Waldo,House,15,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,84,B,Supporter,105,Beth Luther Waldo has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Beth Luther Waldo,125,Yes,beth-luther-waldo,No
Bart Williams,Senate,15,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Bart Williams supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Bart Williams,140,Yes,bart-williams,No
Rickey Thompson,House,16,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Rickey Thompson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Rickey Thompson,155,Yes,rickey-thompson,No
Angela Turner-Ford,Senate,16,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Angela Turner-Ford supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Angela Turner-Ford,140,Yes,angela-turnerford,No
Shane Aguirre,House,17,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Shane Aguirre supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Shane Aguirre,155,Yes,shane-aguirre,No
Chuck Younger,Senate,17,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Chuck Younger supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Chuck Younger,140,Yes,chuck-younger,No
Jerry Turner,House,18,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Jerry Turner supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jerry Turner,155,Yes,jerry-turner,No
Lane Taylor,Senate,18,Republican,N/A,N/A,N/A,N/A,N/A,OPPOSE,OPPOSE,N/A,N/A,0,F,Opposed,0,Lane Taylor is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Lane Taylor,80,Yes,lane-taylor,No
Randy Boyd,House,19,Republican,SUPPORT,OPPOSE,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,81,B,Supporter,125,Randy Boyd has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Randy Boyd,155,Yes,randy-boyd,No
Kevin Blackwell,Senate,19,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A+,Champion Leader,210,Kevin Blackwell is classified as a Champion Leader based on 3MA’s designation as a primary medical cannabis bill author or legislative champion.,Kevin Blackwell,140,Yes,kevin-blackwell,Yes
Rodney Hall,House,20,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,84,B,Supporter,105,Rodney Hall has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Rodney Hall,125,Yes,rodney-hall,No
Josh Harkins,Senate,20,Republican,ABSENT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,95,A,Strong Supporter,132.5,Josh Harkins supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Josh Harkins,140,Yes,josh-harkins,No
Donnie Bell,House,21,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Donnie Bell supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Donnie Bell,155,Yes,donnie-bell,No
Bradford Blackmon,Senate,21,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Bradford Blackmon supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Bradford Blackmon,140,Yes,bradford-blackmon,No
Justin Crosby,House,22,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,80,Justin Crosby supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Justin Crosby,80,Yes,justin-crosby,No
Joseph Thomas,Senate,22,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Joseph Thomas supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Joseph Thomas,140,Yes,joseph-thomas,No
Perry Bailey,House,23,Republican,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,80,Perry Bailey supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,,80,Yes,perry-bailey,No
Briggs Hopson,Senate,23,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,OPPOSE,OPPOSE,N/A,N/A,43,D,Weak / Inconsistent,60,Briggs Hopson has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Briggs Hopson,140,Yes,briggs-hopson,No
Jeff Hale,House,24,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Jeff Hale supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeff Hale,155,Yes,jeff-hale,No
Justin Pope,Senate,24,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,80,Justin Pope supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Justin Pope,80,Yes,justin-pope,No
Dan Eubanks,House,25,Republican,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,82,B,Supporter,127.5,Dan Eubanks has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Dan Eubanks,155,Yes,dan-eubanks,No
J. Walter Michel,Senate,25,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,OPPOSE,SUPPORT,N/A,N/A,71,C,Mixed / Persuadable,100,J. Walter Michel has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,J. Walter Michel,140,Yes,j-walter-michel,No
Otha Williams,Hosue,26,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,80,Otha Williams supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,,80,Yes,otha-williams,No
Kameisha Mumford,Senate,26,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,140,Kameisha Mumford supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kameisha Mumford,140,Yes,kameisha-mumford,No
Kenji Holloway,House,27,Democrat,SUPPORT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,90,A,Strong Supporter,140,Kenji Holloway supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kenji Holloway,155,Yes,kenji-holloway,No
Hillman Terome Frazier,Senate,27,Democrat,SUPPORT,ABSENT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,95,A,Strong Supporter,132.5,Hillman Terome Frazier supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Hillman Terome Frazier,140,Yes,hillman-terome-frazier,No
W.I. Harris,House,28,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,W.I. Harris supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,W.I. Harris,125,Yes,wi-harris,No
Sollie B. Norwood,Senate,28,Democrat,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,OPPOSE,SUPPORT,N/A,N/A,71,C,Mixed / Persuadable,100,Sollie B. Norwood has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Sollie B. Norwood,140,Yes,sollie-b-norwood,No
Robert Sanders,House,29,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Robert Sanders supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Robert Sanders,155,Yes,robert-sanders,No
