Legislator Name,Chamber,District,Party,SB 2095 (2022),HB 1158 (2023),SB 2857 (2024),HB 611 (2025),SB 2748 (2025),HB 895 (2026),HB 1152 (2026),HB 1034 (2026),HB 513 (2026),Score,Grade,Classification,Historical Vote Score,Summary,Contact Link,Eligible Weight,Publish?,Slug,Featured?
Christopher Bell,House,65,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Christopher Bell supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Christopher Bell,155,Yes,christopher-bell,No
Fabian Nelson,House,66,Democrat,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Fabian Nelson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Fabian Nelson,125,Yes,fabian-nelson,No
Earle Banks,House,67,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,95,A,Strong Supporter,147.5,Earle Banks supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Earle Banks,155,Yes,earle-banks,No
Zakiya Summers,House,68,Democrat,SUPPORT,ABSENT,OPPOSE,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,ABSENT,73,C,Mixed / Persuadable,112.5,Zakiya Summers has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Zakiya Summers,155,Yes,zakiya-summers,No
Tamarra Butler-Washington,House,69,Democrat,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Tamarra Butler-Washington supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Tamarra Butler-Washington,125,Yes,tamarra-butlerwashington,No
Bo Brown,House,70,Democrat,OPPOSE,ABSENT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,ABSENT,SUPPORT,73,C,Mixed / Persuadable,112.5,Bo Brown has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Bo Brown,155,Yes,bo-brown,No
Ronnie Crudup,House,71,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,69,C,Mixed / Persuadable,107.5,Ronnie Crudup has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Ronnie Crudup,155,Yes,ronnie-crudup,No
Justis Gibbs,House,72,Democrat,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,86,B,Supporter,120,Justis Gibbs has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Justis Gibbs,140,Yes,justis-gibbs,No
Jill Ford,House,73,Republican,OPPOSE,OPPOSE,SUPPORT,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ABSENT,SUPPORT,10,F,Opposed,15,Jill Ford is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Jill Ford,155,Yes,jill-ford,No
Lee Yancey,House,74,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A+,Champion Leader,232.5,Lee Yancey is classified as a Champion Leader based on 3MA’s designation as a primary medical cannabis bill author or legislative champion.,Lee Yancey,155,Yes,lee-yancey,Yes
Celeste Hurst,House,75,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Celeste Hurst supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Celeste Hurst,125,Yes,celeste-hurst,No
"Gregory Holloway, Sr.",House,76,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,87,B,Supporter,135,"Gregory Holloway, Sr. has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.","Gregory Holloway, Sr.",155,Yes,gregory-holloway-sr,No
Price Wallace,House,77,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Price Wallace supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Price Wallace,155,Yes,price-wallace,No
Randy Rushing,House,78,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Randy Rushing supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Randy Rushing,155,Yes,randy-rushing,No
Mark Tullos,House,79,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Mark Tullos supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Mark Tullos,155,Yes,mark-tullos,No
Omeria Scott,House,80,Democrat,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,ABSENT,65,C,Mixed / Persuadable,100,Omeria Scott has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Omeria Scott,155,Yes,omeria-scott,No
Stephen A. Horne,House,81,Republican,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,90,A,Strong Supporter,140,Stephen A. Horne supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Stephen A. Horne,155,Yes,stephen-a-horne,No
Gregory Elliot,House,82,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,80,Gregory Elliot supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,,80,Yes,gregory-elliot,No
Billy Adam Calvert,House,83,Republican,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,90,A,Strong Supporter,140,Billy Adam Calvert supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Billy Adam Calvert,155,Yes,billy-adam-calvert,No
Troy Smith,House,84,Republican,OPPOSE,ABSENT,SUPPORT,ABSENT,ABSENT,ABSENT,OPPOSE,SUPPORT,SUPPORT,37,F,Opposed,57.5,Troy Smith is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Troy Smith,155,Yes,troy-smith,No
Jeffery Harness,House,85,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,147.5,Jeffery Harness supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeffery Harness,155,Yes,jeffery-harness,No
Shane Barnett,House,86,Republican,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,SUPPORT,65,C,Mixed / Persuadable,100,Shane Barnett has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Shane Barnett,155,Yes,shane-barnett,No
Joseph Tubb,House,87,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Joseph Tubb supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Joseph Tubb,155,Yes,joseph-tubb,No
Charles Blackwell,House,88,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Charles Blackwell supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Charles Blackwell,125,Yes,charles-blackwell,No
Donnie Scoggin,House,89,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Donnie Scoggin supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Donnie Scoggin,155,Yes,donnie-scoggin,No
Noah Sanford,House,90,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,ABSENT,SUPPORT,SUPPORT,74,C,Mixed / Persuadable,115,Noah Sanford has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Noah Sanford,155,Yes,noah-sanford,No
Bob Evans,House,91,Democrat,SUPPORT,ABSENT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,90,A,Strong Supporter,140,Bob Evans supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Bob Evans,155,Yes,bob-evans,No
Becky Currie,House,92,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Becky Currie supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Becky Currie,155,Yes,becky-currie,No
Timmy Ladner,House,93,Republican,OPPOSE,OPPOSE,SUPPORT,OPPOSE,OPPOSE,OPPOSE,SUPPORT,SUPPORT,SUPPORT,35,F,Opposed,55,Timmy Ladner is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Timmy Ladner,155,Yes,timmy-ladner,No
Robert Johnson III,House,94,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,147.5,Robert Johnson III supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Robert Johnson III,155,Yes,robert-johnson-iii,No
Jay McKnight,House,95,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Jay McKnight supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jay McKnight,155,Yes,jay-mcknight,No
Angela Cockerham,House,96,Independent,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Angela Cockerham supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Angela Cockerham,155,Yes,angela-cockerham,No
"Sam Mims, V",House,97,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,"Sam Mims, V supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.","Sam Mims, V",155,Yes,sam-mims-v,No
Daryl Porter,House,98,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,147.5,Daryl Porter supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Daryl Porter,155,Yes,daryl-porter,No
Bill Pigott,House,99,Republican,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,147.5,Bill Pigott supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Bill Pigott,155,Yes,bill-pigott,No
Ken Morgan,House,100,Republican,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,77,B,Supporter,120,Ken Morgan has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Ken Morgan,155,Yes,ken-morgan,No
Kent McCarty,House,101,Republican,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,147.5,Kent McCarty supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kent McCarty,155,Yes,kent-mccarty,No
Missy McGee,House,102,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Missy McGee supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Missy McGee,155,Yes,missy-mcgee,No
Percy Watson,House,103,Democrat,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,147.5,Percy Watson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Percy Watson,155,Yes,percy-watson,No
Larry Byrd,House,104,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Larry Byrd supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Larry Byrd,155,Yes,larry-byrd,No
Elliot Burch,House,105,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,OPPOSE,SUPPORT,SUPPORT,68,C,Mixed / Persuadable,85,Elliot Burch has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Elliot Burch,125,Yes,elliot-burch,No
Jansen Owen,House,106,Republican,OPPOSE,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,90,A,Strong Supporter,140,Jansen Owen supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jansen Owen,155,Yes,jansen-owen,No
Steve Lott,House,107,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Steve Lott supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Steve Lott,125,Yes,steve-lott,No
Stacey Hobgood-Wilkes,House,108,Republican,OPPOSE,OPPOSE,ABSENT,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ABSENT,5,F,Opposed,7.5,Stacey Hobgood-Wilkes is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Stacey Hobgood-Wilkes,155,Yes,stacey-hobgoodwilkes,No
Manly Barton,House,109,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Manly Barton supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Manly Barton,155,Yes,manly-barton,No
Jeramey Anderson,House,110,Democrat,SUPPORT,SUPPORT,ABSENT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,95,A,Strong Supporter,147.5,Jeramey Anderson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeramey Anderson,155,Yes,jeramey-anderson,No
Jimmy Fondren,House,111,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Jimmy Fondren supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jimmy Fondren,125,Yes,jimmy-fondren,No
John Read,House,112,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,John Read supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,John Read,155,Yes,john-read,No
Henry Zuber III,House,113,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Henry Zuber III supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Henry Zuber III,155,Yes,henry-zuber-iii,No
Jeffrey Guice,House,114,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Jeffrey Guice supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeffrey Guice,155,Yes,jeffrey-guice,No
Zachary Grady,House,115,Republican,N/A,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,125,Zachary Grady supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Zachary Grady,125,Yes,zachary-grady,No
Casey Eure,House,116,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Casey Eure supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Casey Eure,155,Yes,casey-eure,No
Kevin Felsher,House,117,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Kevin Felsher supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Kevin Felsher,155,Yes,kevin-felsher,No
Greg Haney,House,118,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,ABSENT,ABSENT,SUPPORT,SUPPORT,74,C,Mixed / Persuadable,115,Greg Haney has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Greg Haney,155,Yes,greg-haney,No
Jeffrey Hulum III,House,119,Democrat,N/A,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,140,Jeffrey Hulum III supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeffrey Hulum III,140,Yes,jeffrey-hulum-iii,No
Richard Bennett,House,120,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Richard Bennett supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Richard Bennett,155,Yes,richard-bennett,No
Carolyn Crawford,House,121,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,OPPOSE,OPPOSE,SUPPORT,SUPPORT,48,D,Weak / Inconsistent,75,Carolyn Crawford has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Carolyn Crawford,155,Yes,carolyn-crawford,No
Brent Anderson,House,122,Republican,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,100,A,Strong Supporter,155,Brent Anderson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Brent Anderson,155,Yes,brent-anderson,No
